seed,n,q,p,K,tau,rho,B_jml_norm,B_coil_norm,Pi_jml_norm,Pi_coil_norm,Gamma_jml_norm,Gamma_coil_norm,jml_time,coil_time,cvx_optimal,loss,niter
0,300,100,2,2,0.2,0.5,1149.326659378303,3.0157085073920955,830.3990873781675,21.140572823984805,20.316091009787723,20.317934716276813,11301.106924574822,1148.293985602446,optimal,14370.637660909473,18
1,300,100,2,2,0.2,0.5,1552.084096857101,3.235170281254694,1021.5283507311516,20.37409593086162,23.16857091222314,23.170586645538876,9840.361781383865,1113.1455811467022,optimal,13925.108171296497,20
2,300,100,2,2,0.2,0.5,1712.4656566060344,2.5868828946719447,1127.830180018424,20.808808086064772,20.684482174595257,20.684404583429615,12095.500509358943,1107.2611380871385,optimal,14580.928308720182,32
3,300,100,2,2,0.2,0.5,4724.536757571449,3.377003424854232,1567.911035991355,21.844211847338514,19.542247683399374,18.575494239579406,7173.118849083781,982.6988846380264,optimal,14890.868437399435,78
4,300,100,2,2,0.2,0.5,1517.9919851654158,3.2376178812520973,892.5437116227328,20.15634909886502,22.58409135234787,21.989344750880385,11068.079669413157,1126.7041155789047,optimal,14263.747055834261,44
5,300,100,2,2,0.2,0.5,1124.5404232431536,3.07168975559404,829.3782950181378,21.074379943939547,21.127359165468103,21.126995514611313,14089.325017497875,1291.97936118301,optimal,14183.468542121498,35
6,300,100,2,2,0.2,0.5,2605.991626528006,3.6675135879751544,1395.1001322505347,21.4890306732305,19.750885234359487,19.75073734625899,13524.427796691656,1041.8944831360132,optimal,14211.785164918709,59
7,300,100,2,2,0.2,0.5,1304.0391937703457,2.139864587790703,979.6968458897504,21.017261330790625,20.424760128629533,20.42261576448258,12514.275828506798,1258.1516822976992,optimal,14209.01005278526,24
8,300,100,2,2,0.2,0.5,1476.866247773282,3.1182702183560993,877.1236384966495,20.64611957034244,23.589519418568216,23.587774746932695,10917.397361159325,1110.351434362121,optimal,13528.560702349165,18
9,300,100,2,2,0.2,0.5,1978.2114824701798,2.6882862332011515,1085.8896725199613,21.42408304117808,21.255070046743228,21.254519021219846,20185.008945894428,953.1063803611323,optimal,14368.649828185466,28
10,300,100,2,2,0.2,0.5,1136.8218491813027,3.0870772516972944,985.3516315760929,20.474526038681745,22.55921836792729,22.558141860485968,15155.03402983956,1187.6984810912982,optimal,13715.465564270591,30
11,300,100,2,2,0.2,0.5,1556.471462256742,3.3449602220673698,899.5235191241574,20.749489806705267,20.0828962342968,20.866155502296632,6326.579164469615,1132.171361866407,optimal,14365.524482229335,30
12,300,100,2,2,0.2,0.5,5185.025512992132,2.904435794427583,1638.6965649613687,20.479897335502116,20.664314113630354,20.81463912392834,4375.6864001518115,1049.0664388369769,optimal,14194.76376766605,93
13,300,100,2,2,0.2,0.5,1226.2206442454446,2.5259444924307535,921.6327936015351,20.690112547762986,21.010659735191556,21.010477798422965,11174.113129856996,878.7168094683439,optimal,14204.183160955537,30
14,300,100,2,2,0.2,0.5,1023.3146598137126,4.02818791412963,730.3919849025632,21.28044925016824,19.551281504846497,19.63663437006594,3409.5088643068448,1030.2002820689231,optimal,14895.416809877119,23
15,300,100,2,2,0.2,0.5,1567.1456519083295,3.027949285514541,904.103190746328,20.970069152318263,19.83867995517619,20.198577421334274,7793.514495306648,1161.254795758985,optimal,14611.297439302494,29
16,300,100,2,2,0.2,0.5,1637.115608052154,2.609048417401584,1138.3648253479485,20.883587409905914,20.888617163837097,20.888217380503654,19553.652897136286,974.3122074687853,optimal,14320.245264531524,43
17,300,100,2,2,0.2,0.5,764.8503253536381,3.1263225445698306,628.4680883990496,21.038188344957703,19.19323850119953,19.172343106409816,5674.017410263419,1292.2376350108534,optimal,14915.158899804608,19
18,300,100,2,2,0.2,0.5,4879.317629500022,3.2943195637173885,1590.938023421069,21.86551819664194,18.050203286982637,18.671671691575284,7169.813216169365,1112.9345554169267,optimal,14788.058533927218,90
19,300,100,2,2,0.2,0.5,3004.784719236029,3.110478569347998,1395.6669107761068,21.0051559253162,20.33663968760294,20.33680237921971,37505.4705122374,1116.456437706016,optimal,14524.461003868508,113
20,300,100,2,2,0.2,0.5,3500.9506470877577,2.6199700715815877,1349.8881649651123,21.30644450538074,19.057762463844877,18.93394846153819,2633.7458084896207,1107.1077849445865,optimal,14869.28815210731,72
21,300,100,2,2,0.2,0.5,1087.7240390175054,3.6864048770481146,908.1528372314862,20.960359832284265,22.148123302021386,22.147711859260095,16144.501448565163,1151.2079430436715,optimal,14133.692055009064,28
22,300,100,2,2,0.2,0.5,1839.0054326964346,2.837650526289658,1087.7915813725822,20.941552828341422,19.963747841638504,19.96192045745884,6985.172652728856,1077.692184577696,optimal,14914.66452189185,36
23,300,100,2,2,0.2,0.5,859.4430485970946,3.156905003486368,670.1828881346423,20.333036435838363,23.70418582504497,23.714812705276508,9978.77483892627,1008.1273877564818,optimal,13961.577761304929,21
24,300,100,2,2,0.2,0.5,2829.161992801549,2.940519921639306,1213.2700982644023,21.381905674592787,18.463234907398512,19.215728516166624,3945.879985583946,1077.554667858407,optimal,14622.346839141119,68
25,300,100,2,2,0.2,0.5,1853.3541267253272,2.8319039514472624,1092.4175176341926,21.227254766610148,19.759369934263567,19.759355755074694,10499.572234475054,1072.5590085145086,optimal,14945.898895294227,44
26,300,100,2,2,0.2,0.5,748.5665552609543,2.5132176518222415,721.3990803342696,20.054746758371547,23.044075714079774,23.04171201386897,15016.54454761371,1188.6894724853337,optimal,14149.732741749209,28
27,300,100,2,2,0.2,0.5,2117.849239415666,2.6683331088722495,1186.4770358484168,20.89117105848193,20.707383648959798,20.70766438210156,8636.342966518365,1026.3299534032121,optimal,14490.996954720347,39
28,300,100,2,2,0.2,0.5,1706.1036456603692,3.5507623042294054,939.5038111278412,21.04895609928925,21.373200560312597,21.398775553696446,5911.441096762195,1178.0123168546706,optimal,14354.449677214336,32
29,300,100,2,2,0.2,0.5,3613.469594748707,3.905316665104501,1369.6428918683814,21.417561628983517,20.901541721631393,20.16317678412976,10743.487939916551,1013.6380603099242,optimal,14473.83200776035,99
30,300,100,2,2,0.2,0.5,1573.1724568882712,2.4122791946110755,1271.738437501385,20.43312979426726,21.6788635314343,21.67885758542627,27836.674782524817,997.551467217505,optimal,14130.697851266375,41
31,300,100,2,2,0.2,0.5,2977.847359240566,2.5768814749174025,1477.7920013751786,21.20989682304039,19.273826281490976,19.273617051779432,11628.657143457793,1143.9522752687335,optimal,14579.111457078568,65
32,300,100,2,2,0.2,0.5,1500.6885460708224,2.8591766818616113,884.367238928568,21.388476933641208,20.046841492723317,19.62111588766114,5485.917103299871,1063.4015538599342,optimal,14525.516444084458,22
33,300,100,2,2,0.2,0.5,1374.219991848034,2.8317473305133487,913.2475370887522,20.61192741611486,21.90758980717495,21.907677488447288,19717.93681560643,1315.8334592226893,optimal,14098.677616976422,32
34,300,100,2,2,0.2,0.5,1828.3925407175752,2.742551818297315,970.1731397440005,21.491125641980627,19.13428379503224,19.1068711215549,7766.118718616664,1052.004682472907,optimal,14584.000133212492,28
35,300,100,2,2,0.2,0.5,3841.1591700826775,2.653368630189384,1414.0752633525851,21.105553359513507,20.094767138533605,20.82845204502604,14051.620202978142,1102.6666668597609,optimal,14302.974574095228,67
36,300,100,2,2,0.2,0.5,3904.4244381607286,3.6700119793104085,1428.1318640856848,20.341828950357105,22.133862395852756,22.206619428145196,8578.659347205423,1116.5223430227488,optimal,13940.535137827843,33
37,300,100,2,2,0.2,0.5,1268.6916006288677,3.665403706862218,898.348231394924,20.191216533094252,22.491712520928694,22.489236336214514,21382.24992719572,1179.4375520423055,optimal,14291.249090931551,27
38,300,100,2,2,0.2,0.5,551.2511885237163,2.893256123057955,536.9822664245986,19.980955564658903,22.769168525509166,22.745603406052634,14489.857598075643,1011.4078218871728,optimal,14307.544272900848,16
39,300,100,2,2,0.2,0.5,2859.149014149778,3.2902216831064997,1270.7392130372925,20.629623757655466,20.209289748957794,20.207632309254983,18223.947256961837,1248.827559903264,optimal,14753.290891160159,33
40,300,100,2,2,0.2,0.5,931.288626985004,3.3009417682949347,695.5439737538904,21.710725830586654,18.904413340654664,18.781723689656864,5139.887889286503,1188.2907662484795,optimal,14739.868029958609,21
41,300,100,2,2,0.2,0.5,1944.533921337996,2.7586012665684403,1175.6422963482391,20.3181086157848,22.54906100251316,22.549367757964742,26537.3432701556,997.2278829589486,optimal,13868.52033768026,30
42,300,100,2,2,0.2,0.5,2888.4755532205013,1.9786353957449467,1479.1655331631432,20.565879139200398,21.560889368222323,21.558978125244522,9337.02413673792,956.4749946054071,optimal,14158.977629723264,51
43,300,100,2,2,0.2,0.5,1649.1252799052327,3.5233932314734493,1034.5172025619665,20.289192644587846,22.40790629776235,22.405733495585824,16691.222324543633,1246.9078318672255,optimal,14239.793884700408,37
44,300,100,2,2,0.2,0.5,5491.911094571447,2.948722177602263,1682.814328631266,21.40180534221348,19.26284955587268,19.263003132216774,13338.222760352306,1039.2715723300353,optimal,14643.82616991971,58
45,300,100,2,2,0.2,0.5,865.4061190296707,2.462844645809084,777.8877268616079,20.492844976721436,22.842945844304065,22.842960384607093,16560.986798617058,1060.2154076853767,optimal,13999.873792255345,22
46,300,100,2,2,0.2,0.5,2952.4338109773585,2.436206614668587,1233.8041910032966,21.025367859884387,19.311448957588823,19.395612818203357,24998.098589649424,1023.9950335994363,optimal,14619.387526712308,1022
47,300,100,2,2,0.2,0.5,3462.4564466701195,2.760059466953084,1543.5066589668427,20.804481913023665,20.407937951389503,20.410245882119177,15276.783652517945,989.6908624209464,optimal,14217.15832835034,66
48,300,100,2,2,0.2,0.5,2576.79956721342,2.465636006872884,1159.7226799519794,21.282640528082183,19.49402564084192,20.203220317020808,8283.058337179013,919.0830280799419,optimal,14660.442371684847,73
49,300,100,2,2,0.2,0.5,3591.297942489966,2.653967593755819,1366.8747199350441,21.735586190517736,19.949365113837885,18.82890379758659,60634.34416115191,87.71882656030357,optimal,14744.729140521315,68
