seed,n,q,p,K,tau,rho,B_jml_norm,B_coil_norm,Pi_jml_norm,Pi_coil_norm,Gamma_jml_norm,Gamma_coil_norm,jml_time,coil_time,cvx_optimal,loss,niter
0,300,100,2,2,0.2,0.5,3370.6951787081543,2.689411186438496,1505.1554913545212,21.140388357351323,20.31609060874579,20.31820687800499,7599.623548010364,1658.9590583546087,optimal,14464.630825797409,61
1,300,100,2,2,0.2,0.5,1170.0357053101686,2.8255154935794216,917.7003123068663,20.374154611480012,23.168572652661997,23.170690045005966,8276.21688338928,1371.080833312124,optimal,13884.571107634378,19
2,300,100,2,2,0.2,0.5,1499.4732742639694,2.277565133035182,883.3122773432741,20.80876610192992,21.509932745715307,20.6843248578615,4219.443521399982,1863.704216742888,optimal,14667.218794673401,32
3,300,100,2,2,0.2,0.5,5684.979094027843,3.11748101906938,1719.6780446862374,21.84417860951528,18.34815940327405,18.575577632480393,3096.028230077587,1193.0060489866883,optimal,14977.810421309678,105
4,300,100,2,2,0.2,0.5,2437.358219101802,2.738942456509599,1123.6326163172657,20.156012259834633,22.778372563310192,21.989405055630584,18649.588289855048,1284.6462557464838,optimal,14340.152998259611,150
5,300,100,2,2,0.2,0.5,2036.608183650157,3.1285655050289476,1000.4652371664874,21.076442205807176,21.127360202294646,21.129073910502825,24298.37185213156,1058.308416891843,optimal,14334.600436941564,72
6,300,100,2,2,0.2,0.5,1818.9803971864922,3.7655617363504885,976.0626850585686,21.489189411416092,19.8212421069683,19.750624997535176,5849.582712002099,1347.5913009904325,optimal,14388.072445611771,26
7,300,100,2,2,0.2,0.5,744.1355344346543,2.2621531732525977,697.1293599438167,21.01810388302492,20.42475526166314,20.42325019422701,11679.651329102926,1407.4414908988401,optimal,14365.312195785084,28
8,300,100,2,2,0.2,0.5,693.8814384279275,3.17943286455999,756.1031541446521,20.64615935860028,23.589490977722956,23.58758926874833,16667.719467784278,1268.0332135558128,optimal,13745.647664777585,27
9,300,100,2,2,0.2,0.5,6421.452587444943,2.4178047997529797,1457.3939707841191,21.423987125638227,21.25506600879343,21.254530248785912,33071.38379055634,1388.5732428655028,optimal,14373.882470597891,150
10,300,100,2,2,0.2,0.5,2189.9937711791345,3.060975239094373,1673.2534575621949,20.473242165142118,22.5592188413653,22.556819391084197,39650.818186721765,1174.1934060472995,optimal,13854.87677550649,150
11,300,100,2,2,0.2,0.5,704.7795905062469,3.0155101511356386,606.3409429446328,20.747305804283506,20.465530577904055,20.864239611780256,6254.626560243778,1028.1568177379668,optimal,14384.843306342487,22
12,300,100,2,2,0.2,0.5,1034.495678622711,2.9732682753758737,833.2987740765317,20.47994342165258,20.8147334576586,20.814477059944746,13372.097229722887,1201.1541904974729,optimal,14421.633558730575,35
13,300,100,2,2,0.2,0.5,953.372902052818,2.534631584222066,822.1670194250969,20.690160138415717,21.01065821399983,21.010587369267693,12667.742261002772,1307.4448099052534,optimal,14403.926611665247,31
14,300,100,2,2,0.2,0.5,1947.4019615358602,3.801051662719006,1067.421594026651,21.281133693500617,19.635363347490483,19.637419954391355,10718.246911115944,1203.8579832315445,optimal,14908.685531550012,27
15,300,100,2,2,0.2,0.5,2270.9557581939216,2.6223493872107775,1258.3550686491963,20.9720733958778,20.200805178326576,20.20050523227962,8505.249177495018,1221.9171329634264,optimal,14683.914771542542,47
16,300,100,2,2,0.2,0.5,1083.6652759798255,2.1951556229977474,879.392564148475,20.88085700372214,20.888617111512396,20.886314991158127,12151.933058671653,1206.7292971508577,optimal,14387.786908992515,30
17,300,100,2,2,0.2,0.5,2221.5862710010488,2.6936188594045216,1295.0942902755025,21.038665821846536,19.17402088914734,19.171644090285895,16748.542882047594,1392.459508471191,optimal,14900.947723328809,37
18,300,100,2,2,0.2,0.5,5923.875701127968,3.1731422700578746,1748.898136849788,21.865551288223767,18.430745095473565,18.67173693012344,4190.7469277521595,1286.4494519876316,optimal,14876.272045977666,48
19,300,100,2,2,0.2,0.5,1360.7879231253414,2.7597135785918443,1329.2337477047868,21.003575147862865,20.336638979102194,20.33431056443081,29040.9671340324,1097.0723384814337,optimal,14597.445044752621,51
20,300,100,2,2,0.2,0.5,7067.687006818774,2.586796650294127,1916.9916206106918,21.306541302340886,19.044639705120627,18.93394938096026,3743.841239027679,1486.7589003713802,optimal,15049.568291903564,90
21,300,100,2,2,0.2,0.5,5184.922131455898,3.399841973453157,1637.4072900464903,20.959703877009797,22.619261728062263,22.147405248089388,7688.962328015827,1400.1087227296084,optimal,14174.4201506762,80
22,300,100,2,2,0.2,0.5,1721.0370436073144,2.6368596038828342,1105.9810765840411,20.94188778931439,19.963748272380954,19.961667704366242,15815.843664931133,1292.225280854851,optimal,15024.028850814764,65
23,300,100,2,2,0.2,0.5,1319.9714744622663,2.6875953081752706,997.2616696160361,20.33272250916563,23.712489707293923,23.71241145478819,13298.206208263524,1375.4123999401927,optimal,14054.314207146686,30
24,300,100,2,2,0.2,0.5,5030.273380443804,2.847416495094635,1617.1526454643258,21.380363750353784,18.739786058264293,19.213748449056574,4317.9653000170365,1242.9179993188009,optimal,14790.773658655295,79
25,300,100,2,2,0.2,0.5,3454.320172721409,2.5290129562268953,1342.4320173513743,21.226944935073433,20.33081942533996,19.75955458351276,10947.55178963393,1440.326211007312,optimal,14964.516412485546,35
26,300,100,2,2,0.2,0.5,3434.7293698278936,2.1785843015036352,1348.185733875773,20.054710512557378,23.044083578097904,23.04182150192324,35469.89975882135,1321.079057753086,optimal,14217.866237723021,150
